,id,title,doi,authors
0,1.0,"A river system modelling platform for Murray-Darling Basin, Australia",10.2166/hydro.2012.153,"[Geoff Podger, Robert Power, Shane Seaton, Ang Yang]"
1,2.0,Impact of Regulation and Network Topology on Effectiveness of Roadway Privatization,10.3141/2297-21,"[Dilya Yusufzyanova, Lei Zhang]"
2,3.0,Simulating Rural Environmentally and Socio-Economically Constrained Multi-Activity and Multi-Decision Societies in a Low-Data Context: A Challenge Through Empirical Agent-Based Modeling,,"[Charles L Bielders, Pierre Defourny, Bruno Gerard, Mehdi Saqalli]"
3,4.0,A preliminary test of Hunt's General Theory of Competition: using artificial adaptive agents to study complex and ill-defined environments,10.1016/j.jbusres.2004.04.005,"[R F Lusch, N S P P Tay]"
4,5.0,Human birthweight evolution across contrasting environments,10.1111/j.1420-9101.2004.00705.x,"[S P Brown, E V Budilova, J F Guegan, F Renaud, A T Teriokhin, Fr̩d̩ric Thomas]"
5,6.0,Aggregate age-at-marriage patterns from individual mate-search heuristics,10.1353/dem.2005.0027,"[F C Billari, J Simao, Peter M Todd]"
6,7.0,"ALMaSS, an agent-based model for animals in temperate European landscapes",10.1016/s0304-3800(03)00173-x,"[J U Jepsen, P Odderskaer, Christopher J Topping]"
7,8.0,Modeling the influence of temporal and spatial factors on the assessment of impacts of pesticides on skylarks,10.1897/02-524a,"[P Odderskaer, Christopher J Topping]"
8,9.0,An agent-based approach for modeling molecular self-organization,10.1073/pnas.0408308102,"[Mark A Ratner, A Troisi, V Wong]"
9,10.0,Decision making and institutional design for product lifecycle management,10.1016/s0007-8506(07)60133-4,"[H Nakayama, N Nishino, S H Oda, K Ueda]"
10,11.0,The epitheliome: agent-based modelling of the social behaviour of cells,10.1016/j.biosystems.2004.05.025,"[G Hill, A Holcombe, D R Hose, S Mac Neil, R H Smallwood, J Southgate, D C Walker, S M Wood]"
11,12.0,The structure of uncultivated wilderness: Land use beyond the extensive margin,10.1111/1467-9787.00139,[Robert Walker]
12,13.0,Agent-based modeling and mapping of a manufacturing system,10.1016/s0924-0136(02)00624-6,"[F Liu, G B Tao, S L Wang, H Xia, Z Zhang]"
13,14.0,"Adaptive agents, political institutions and civic traditions in modern Italy",,[Ravi Bhavnani]
14,15.0,"Announcement, credibility, and turnout in popular rebellions",10.1177/0022002703252368,"[Ravi Bhavnani, M Ross]"
15,16.0,"Multi-agent modelling of climate outlooks and food security on a community garden scheme in Limpopo, South Africa",10.1098/rstb.2005.1742,"[Sukaina Bharwani, M Bithell, T E Downing, M New, R Washington, G Ziervogel]"
16,17.0,COMPUTATIONAL FEATURES OF AGENT-BASED MODELS,10.1142/s0219876205000399,"[Massimo Bernaschi, Filippo Castiglione]"
17,18.0,Adaptation and sustainability in a small Arctic community: Results of an agent-based simulation model,,"[Matthew Berman, G Kofinas, S Martin, C Nicolson, J Tetlichi]"
